municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20
110001,334,76,15,39,5,12,4,4,145,165,99,19,24,223,373,13,10,16,218,20
110037,108,47,7,17,3,9,-,1,65,48,63,13,7,59,136,6,4,2,78,16
110040,107,46,13,13,4,7,2,3,62,62,53,19,10,108,127,9,1,20,156,14
110034,51,40,15,17,10,14,-,3,55,44,50,25,7,67,72,4,3,3,87,76
110002,885,244,98,156,79,112,21,9,592,587,449,136,61,436,1148,101,49,92,1065,46
110045,149,60,10,51,11,24,8,2,105,131,126,45,19,159,230,20,9,9,347,22
110003,89,14,3,19,-,7,-,-,26,49,25,6,3,85,62,8,1,4,53,22
110060,24,16,3,8,2,1,1,1,7,4,12,5,1,20,36,2,-,1,34,2
110004,284,429,40,78,45,89,10,9,377,261,389,119,61,327,1303,73,32,66,659,220
110070,56,8,4,5,2,7,-,-,26,27,22,9,6,33,61,1,5,4,69,1
110080,170,95,8,29,14,36,4,-,79,62,64,31,14,69,305,44,17,14,301,15
110090,8,9,1,3,-,2,-,-,14,10,13,1,2,11,34,1,-,-,12,6
110005,284,37,21,62,4,6,1,1,79,64,47,13,7,163,218,23,1,22,135,26
110092,18,35,6,11,3,2,-,-,31,9,31,7,1,18,101,19,3,11,92,19
110006,221,50,8,25,12,11,-,1,79,50,37,16,7,68,128,20,3,12,135,20
110007,19,12,2,3,-,3,-,-,24,8,14,5,3,14,61,5,1,4,59,12
110008,52,14,14,24,1,12,-,2,29,51,49,10,3,70,156,8,-,10,68,6
110094,115,28,18,39,9,19,1,2,53,40,48,29,8,59,168,15,2,45,198,20
110009,281,94,95,69,11,30,2,2,141,127,219,34,35,152,336,24,7,29,329,13
110100,14,10,5,4,-,4,1,-,18,5,19,4,3,13,60,1,3,2,32,5
110010,579,88,22,72,13,27,3,5,129,269,243,89,30,334,1021,77,14,44,365,26
110110,49,19,3,7,4,7,5,-,32,14,34,11,2,18,84,14,5,4,95,12
110011,418,168,122,65,41,44,7,3,225,249,233,129,28,211,887,43,21,56,283,43
110012,625,435,51,179,61,57,10,1,418,365,484,106,74,539,1550,122,40,47,653,368
110013,316,68,18,48,6,46,5,-,140,142,91,33,12,219,439,22,12,18,409,85
110120,27,46,10,16,8,5,-,2,30,33,32,4,5,27,57,-,-,7,39,8
110130,70,19,5,25,6,6,3,-,44,39,58,11,4,74,81,5,5,5,59,7
110140,77,35,17,7,7,7,2,-,84,62,63,19,4,82,106,5,3,6,125,4
110014,142,37,9,30,8,8,5,-,83,68,84,47,7,90,196,3,4,8,85,14
110033,231,43,6,34,7,12,3,1,82,140,109,52,13,204,350,23,3,12,242,12
110143,18,14,4,4,2,2,1,-,15,22,47,2,4,12,44,2,-,1,25,2
110050,54,25,7,32,25,25,-,-,40,57,36,14,4,44,76,4,1,8,47,11
110015,458,140,71,70,35,11,3,4,128,185,265,40,24,249,386,24,13,16,205,51
110145,41,4,1,5,7,3,-,4,18,48,22,4,1,45,47,2,1,26,51,6
110018,463,143,58,145,40,59,1,14,290,294,257,51,81,385,711,32,12,181,428,59
110146,29,7,3,6,-,3,-,-,13,3,11,9,1,19,27,7,-,11,21,7
110020,4248,1761,178,424,700,567,141,32,1758,1379,1921,633,322,1642,8199,1266,293,390,5073,591
110025,63,63,35,35,5,8,2,-,56,100,96,18,6,103,215,8,8,12,94,46
110147,16,11,5,6,1,6,-,1,26,20,11,5,2,26,28,1,-,8,26,4
110026,20,9,1,7,1,6,2,-,9,17,20,6,1,14,32,2,-,31,27,2
110028,355,145,67,106,40,54,8,8,249,233,239,51,47,281,1114,40,18,92,612,98
110029,117,20,8,26,-,10,1,1,65,87,43,8,1,72,74,2,2,6,75,12
110148,12,10,1,3,1,3,-,-,9,7,21,3,2,14,20,3,-,6,24,6
110149,88,41,6,16,5,12,-,-,67,72,81,26,6,89,268,13,7,10,120,6
110032,151,52,19,42,14,19,-,3,95,99,135,30,8,193,419,11,11,14,149,33
110150,62,28,2,18,2,7,-,1,50,50,43,31,9,94,126,4,4,7,107,13
110155,8,9,3,6,-,3,-,-,13,25,12,3,-,34,23,1,2,2,5,2
110160,22,32,13,12,4,2,-,-,16,36,23,9,3,32,75,8,1,1,49,3
110170,36,52,9,17,1,5,-,2,32,27,51,13,6,37,66,3,1,5,53,10
110175,18,18,3,4,4,4,3,-,11,6,14,2,1,11,68,1,-,-,33,7
110180,50,19,7,9,3,7,-,-,15,28,31,15,6,29,46,1,2,2,28,4
110030,627,236,82,209,211,128,6,10,949,482,472,150,84,558,1787,236,17,298,1582,408
110000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120001,45,30,4,10,8,8,1,-,24,19,37,8,3,34,171,12,2,7,68,10
120005,61,9,1,9,1,3,1,-,14,68,18,51,2,48,246,7,1,5,30,4
