municipality,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_20
110001,4,9,-,3,1,2,-,-,16,8,4,-,-,3,-,6,3,13,27
110002,18,52,6,20,1,6,-,-,98,30,16,-,2,15,-,14,4,10,94
110003,3,3,-,4,-,1,-,-,5,7,-,-,-,2,-,-,-,1,2
110004,13,52,6,33,2,14,-,-,115,20,14,-,-,7,-,8,3,9,73
110005,2,15,1,5,-,2,-,-,25,10,-,1,-,1,-,-,3,7,21
110006,3,21,-,2,-,1,-,-,35,10,2,-,-,5,-,7,1,6,15
110007,2,2,-,1,2,-,-,-,7,9,-,-,-,-,-,1,2,4,3
110008,1,4,1,1,-,1,-,-,5,1,2,-,-,-,-,1,-,2,16
110009,4,9,-,7,1,1,-,-,30,10,7,1,-,2,1,2,6,35,14
110010,12,23,2,24,-,3,-,-,59,22,10,-,-,7,-,12,2,2,30
110011,9,39,2,14,1,7,-,-,54,18,3,-,1,4,-,8,2,31,40
110012,51,47,1,10,1,5,-,-,151,143,12,-,-,17,4,17,9,164,105
110013,4,14,1,5,1,-,-,-,27,8,2,-,1,2,-,2,2,10,30
110014,4,10,2,6,-,1,-,-,21,4,5,-,-,2,-,6,1,2,10
110015,6,22,-,21,2,4,-,-,64,17,5,-,-,2,-,4,3,5,32
110018,5,15,2,9,-,-,-,-,43,7,4,1,-,4,1,9,2,11,37
110020,145,322,10,122,10,24,-,1,415,185,95,2,14,40,6,95,39,178,502
110025,4,11,-,14,1,1,-,-,25,10,2,1,-,3,-,-,1,11,9
110026,1,2,-,-,-,-,-,-,5,2,-,-,-,-,-,-,-,2,7
110028,17,36,1,12,1,4,-,-,86,12,12,1,-,6,2,3,6,29,46
110029,-,6,-,1,-,1,-,-,8,2,1,-,-,-,-,1,1,3,4
110030,18,39,4,15,1,11,-,-,94,29,20,-,1,11,-,17,7,18,72
110032,2,3,1,5,-,-,-,-,16,4,4,1,-,-,-,1,-,2,20
110033,4,9,-,4,-,2,-,-,22,3,6,-,-,-,-,6,1,11,30
110034,1,6,-,4,-,1,-,-,22,6,-,-,-,-,-,4,-,5,14
110037,1,3,-,3,-,-,-,-,7,3,1,-,-,2,-,2,-,6,13
110040,1,10,-,7,1,-,-,-,25,5,6,-,-,1,-,4,3,10,28
110045,6,9,-,9,1,-,-,-,19,8,2,-,-,5,-,4,1,16,48
110050,-,9,-,1,1,-,-,-,13,4,-,-,-,3,-,-,-,6,5
110060,1,-,-,1,2,-,-,-,8,1,1,-,-,2,-,-,-,2,1
110070,5,6,1,2,-,1,-,-,9,2,2,-,-,-,-,3,-,1,19
110080,4,8,-,5,-,1,-,-,12,5,2,-,1,1,1,6,1,8,25
110090,-,1,-,1,-,-,-,-,5,1,-,-,-,-,-,-,1,1,5
110092,2,-,-,2,-,-,-,-,3,-,2,-,-,-,-,-,1,2,5
110094,2,6,-,4,-,-,-,-,10,3,3,-,-,1,-,3,-,7,16
110100,1,1,1,1,-,-,-,-,8,1,4,-,-,-,-,1,-,2,1
110110,1,3,-,1,-,-,-,-,10,1,3,-,-,-,-,-,-,-,6
110120,3,3,-,1,-,-,-,-,11,3,2,-,-,-,-,1,1,3,8
110130,2,2,1,1,-,1,-,-,12,3,-,-,-,2,-,3,-,1,6
110140,3,11,-,5,-,-,-,-,12,3,-,-,-,1,-,3,1,5,12
110143,1,2,1,-,-,-,-,-,8,2,-,1,-,-,-,-,1,-,3
110145,-,-,1,3,-,-,-,-,4,3,2,-,-,-,-,1,-,2,2
110146,-,1,-,1,-,-,-,-,2,1,1,-,-,-,-,1,1,-,1
110147,-,3,-,1,-,-,-,-,6,2,1,-,-,-,-,-,-,6,1
110148,-,1,-,3,-,-,-,-,5,2,2,-,-,-,-,-,-,1,4
110149,2,4,-,2,1,-,-,-,11,3,3,-,-,2,-,2,1,5,14
110150,1,4,1,3,-,-,-,-,9,2,-,-,-,-,-,1,1,2,9
110155,-,1,-,2,-,-,-,-,3,2,-,-,-,-,-,1,-,1,-
110160,3,5,-,1,-,2,-,-,1,2,1,-,-,-,1,-,-,3,7
110170,-,10,-,4,-,-,-,-,14,2,2,-,-,1,-,1,1,1,6
110175,2,-,1,2,-,-,-,-,8,1,2,-,-,-,-,-,-,2,11
