municipality,mammogram,x_ray,tomograph,ressonance,ultrasound
110001,-,3,-,-,2
110037,-,-,-,-,2
110040,-,-,-,-,2
110034,-,1,-,-,1
110002,6,36,4,2,35
110045,1,10,1,-,14
110003,-,2,-,-,-
110060,-,2,-,-,1
110004,1,85,10,5,46
110070,-,2,-,-,-
110080,-,2,-,-,2
110090,-,-,-,-,1
110005,-,1,-,-,1
110092,-,1,-,-,1
110006,-,2,-,-,3
110007,-,-,-,-,1
110008,-,1,-,-,1
110094,-,2,-,-,2
110009,-,11,-,-,6
110100,-,1,-,-,2
110010,1,13,1,-,7
110110,-,1,-,-,1
110011,3,11,2,1,12
110012,5,72,6,2,32
110013,-,1,-,-,1
110120,-,1,-,-,-
110130,-,1,-,-,2
110140,-,1,-,-,1
110014,-,1,-,-,3
110033,-,2,-,-,3
110143,-,2,-,-,2
110050,-,1,-,-,3
110015,1,13,2,-,9
110145,-,-,-,-,1
110018,2,18,-,-,8
110146,-,1,-,-,1
110020,13,258,26,12,136
110025,-,4,-,-,2
110147,-,-,-,-,-
110026,-,1,-,-,1
110028,-,15,2,-,17
110029,-,3,-,-,1
110148,-,-,-,-,-
110149,-,3,-,-,5
110032,-,3,-,-,2
110150,-,3,-,-,1
110155,-,-,-,-,-
110160,-,1,-,-,2
110170,-,3,-,-,3
110175,-,-,-,-,-
110180,-,-,-,-,-
110030,3,89,7,6,31
120001,-,1,-,-,1
120005,-,1,-,-,-
120010,-,1,-,-,2
120013,-,-,-,-,1
120017,-,-,-,-,-
120020,2,13,1,-,11
120025,-,-,-,-,-
120030,-,2,-,-,1
120032,-,1,-,-,-
120033,-,1,-,-,-
120034,-,1,-,-,-
120035,-,2,-,-,1
120038,-,1,-,-,1
120080,-,1,-,-,-
120039,-,1,-,-,-
120040,12,140,11,6,86
120042,-,1,-,-,-
120043,-,1,-,-,-
120050,-,7,-,-,4
120045,-,1,-,-,-
120060,-,3,-,-,4
120070,-,1,-,-,-
130002,-,1,-,-,3
130006,1,1,-,-,2
130008,1,1,-,-,1
130010,1,2,-,-,2
130014,1,5,-,-,2
130020,1,1,-,-,2
130030,1,7,-,-,1
130040,1,3,-,-,2
130050,1,1,-,-,1
130060,1,2,-,-,3
130063,1,1,-,1,1
130068,-,2,-,-,2
130070,-,5,-,-,3
130080,1,2,-,-,2
130083,1,2,-,-,1
130090,-,1,-,-,1
130100,1,2,-,-,3
130110,-,1,-,-,1
130115,-,-,-,-,-
130120,1,1,-,-,10
130130,1,2,-,-,1
130140,1,2,-,-,1
130150,-,3,-,-,2
130160,-,2,-,-,2
130165,-,1,-,-,1
130170,2,9,1,-,8
130180,-,3,-,-,1
130185,-,3,-,-,3
130190,1,8,1,-,5
130195,-,2,-,-,-
130200,-,1,-,-,-
130210,1,1,-,-,2
130220,-,3,-,-,1
130230,1,1,-,-,3
130240,-,5,-,-,2
130250,-,12,-,-,6
130255,-,2,-,-,3
130260,34,632,44,22,263
130270,1,3,-,-,3
130280,1,2,-,-,1
130290,-,7,-,-,4
130300,-,1,-,-,1
130310,-,1,-,-,1
130320,1,1,-,-,1
130330,1,2,-,-,1
130340,1,19,1,-,12
130350,-,6,-,-,1
130353,1,5,-,-,4
130356,1,4,-,-,3
130360,-,4,-,-,1
130370,1,1,-,-,2
130380,1,8,1,-,2
130390,-,1,-,-,3
130395,-,2,-,-,1
130400,1,1,-,-,1
130406,1,10,-,-,5
130410,-,2,-,-,2
130420,1,11,-,-,12
130423,1,1,-,-,1
130426,1,1,-,-,1
130430,1,1,-,-,2
130440,-,2,-,-,1
140005,-,-,-,-,3
140002,-,-,-,-,-
140010,5,133,6,3,78
140015,-,2,-,-,4
140017,-,-,-,-,-
140020,-,1,-,-,3
140023,-,1,-,-,-
140028,-,-,-,-,-
140030,-,2,-,-,2
140040,-,3,-,-,-
140045,-,1,-,-,-
140047,-,5,-,-,3
140050,-,-,-,-,1
140060,-,2,-,-,2
140070,-,2,-,-,-
150010,-,24,1,-,18
150013,-,1,-,-,1
150020,-,4,-,-,3
150030,-,1,-,-,1
150034,-,3,-,-,4
150040,-,2,-,-,4
150050,-,6,-,-,5
150060,1,15,1,1,8
150070,-,1,-,-,1
150080,12,79,12,5,65
150085,-,1,-,-,1
150090,-,2,-,-,3
150095,-,7,-,-,2
150100,-,-,-,-,1
150110,-,2,-,-,1
150120,-,3,-,-,3
150125,-,1,-,-,1
150130,2,15,1,1,15
150140,40,292,43,29,282
150145,-,1,-,-,2
150150,1,4,-,-,4
150157,-,1,-,-,1
150160,-,-,-,-,-
150170,2,18,4,-,10
150172,-,4,-,-,3
150175,-,2,-,-,1
150178,-,2,-,-,3
150180,1,7,1,-,6
150190,-,3,-,-,2
150200,-,1,-,-,1
150195,-,2,-,-,4
150210,-,14,2,1,14
150215,3,45,1,-,22
150220,8,19,5,1,32
150230,1,7,1,-,6
150240,3,23,8,5,36
150250,-,-,-,-,2
150260,-,-,-,-,1
150270,2,22,2,1,8
150275,-,-,-,-,-
150276,-,1,-,-,1
150277,-,3,-,-,3
150280,-,2,-,-,1
150285,-,-,-,-,1
150290,-,3,1,-,2
150293,1,11,-,-,6
150295,-,1,-,-,3
150300,-,2,-,-,1
150304,-,2,-,-,1
150307,-,1,-,-,1
150309,-,1,-,-,2
150310,-,2,-,-,1
150320,-,4,-,-,5
150330,-,2,-,-,3
150340,-,1,-,-,1
150345,-,4,-,-,6
150350,-,2,-,-,6
150360,1,19,2,-,10
150370,-,2,-,-,3
150375,-,1,-,-,1
150380,-,5,1,-,6
150390,1,8,1,-,5
150400,-,1,-,-,1
150405,-,3,-,-,2
150410,-,3,-,-,2
150420,4,51,6,3,40
150430,-,1,-,-,1
150440,-,2,-,-,1
150442,3,13,1,-,7
150445,-,3,-,-,1
150450,-,2,-,-,1
150460,-,1,-,-,1
150470,-,5,-,-,4
150480,-,2,-,-,3
150490,-,3,-,-,1
150495,-,2,-,-,1
150497,-,6,-,-,2
150500,-,-,-,-,1
150503,2,10,1,-,5
150506,-,3,-,-,2
150510,1,5,-,-,4
150520,-,1,-,-,1
150530,-,8,-,-,13
150540,-,2,-,-,1
150543,1,14,1,-,4
150548,-,5,-,-,3
150549,-,-,-,-,1
150550,3,25,3,1,17
150553,6,154,8,4,49
150555,-,3,-,-,2
150560,-,-,-,-,1
150563,-,1,-,-,1
150565,-,2,-,-,2
150570,-,1,-,-,1
150580,-,2,-,-,1
150590,-,1,-,-,1
150600,-,1,-,-,1
150610,-,3,-,-,1
150611,-,-,-,-,1
150613,3,24,2,1,26
150616,-,3,-,-,3
150618,1,13,-,-,4
150619,-,3,-,-,1
150620,-,7,-,-,5
150630,-,1,-,-,-
150635,-,2,-,-,1
150640,-,-,-,-,1
150650,-,6,-,-,4
150655,-,2,-,-,2
150658,-,3,-,-,1
150660,-,1,-,-,3
150670,-,3,-,-,4
150680,-,42,8,4,42
150690,-,-,-,-,2
150700,-,2,-,-,2
150710,-,2,-,-,1
150715,-,2,-,-,3
150720,-,3,-,-,1
150730,-,9,-,-,14
150740,-,-,-,-,2
150745,-,1,-,-,2
150746,-,1,-,-,1
150747,-,1,-,-,1
150750,-,1,-,-,1
150760,-,3,-,-,2
150770,-,1,-,-,1
150775,-,1,-,-,1
150780,-,2,-,-,2
150790,-,1,-,-,1
150795,1,11,2,-,4
150796,-,-,-,-,1
150797,1,2,-,-,3
150800,-,7,1,-,8
150803,-,3,-,-,2
150805,-,1,-,-,1
150808,1,11,2,-,6
150810,6,21,4,4,24
150812,-,3,1,-,2
150815,-,3,-,-,3
150820,-,1,-,-,1
150830,-,4,-,-,2
150835,-,7,-,-,4
150840,-,6,1,-,10
160010,-,-,-,-,1
160020,-,1,-,-,-
160021,-,-,-,-,-
160023,-,-,-,-,1
160025,-,-,-,-,-
160027,-,4,-,-,12
