municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,CONSULTORIO ISOLADO,ISOLATED OFFICE,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),UNIDADE MOVEL TERRESTRE,GROUND MOBILE UNIT,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE
110001,2,4,-,2,-,-,-,-,-,-,1,3,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
110002,-,9,4,8,4,-,-,-,14,-,18,15,1,-,1,5,-,-,-,1,-,2,-,1,1,-,-
110003,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
110004,-,8,2,8,-,-,-,-,45,-,33,11,-,-,4,1,-,-,-,-,-,1,-,-,-,-,-
110005,-,6,-,-,-,1,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
110006,1,6,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
110007,2,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110008,5,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110009,6,2,-,2,-,1,-,-,7,-,-,3,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
110010,14,5,-,2,-,-,-,-,6,-,-,6,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-
110011,2,11,-,2,-,-,-,-,28,-,13,11,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-
110012,5,13,3,6,1,-,1,-,44,-,25,16,-,-,-,2,-,-,1,1,-,-,-,1,-,-,-
110013,4,10,-,1,-,-,-,-,2,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
110014,1,3,-,1,-,-,-,-,3,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110015,9,4,-,4,-,-,-,-,5,-,4,6,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
110018,10,4,1,3,-,-,-,-,5,-,3,4,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-
110020,17,39,6,13,7,-,-,-,143,1,92,62,-,1,3,3,-,-,-,1,2,2,-,3,-,-,-
110025,7,3,-,-,-,1,-,-,1,-,2,2,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-
110026,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110028,2,12,2,3,-,-,-,-,9,-,5,11,1,-,1,2,-,-,-,-,-,1,-,1,-,-,-
110029,-,1,-,-,-,1,-,-,-,-,-,1,-,-,1,3,-,-,-,-,-,1,-,-,-,-,-
110030,7,5,1,5,-,-,-,-,57,-,17,16,1,1,2,2,-,-,-,-,-,1,-,1,-,1,-
110032,1,3,-,-,-,1,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110033,3,3,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-
110034,2,2,-,-,-,1,-,-,1,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
110037,3,1,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
110040,-,4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
