municipality,HEALTH CENTER,HEALTH CENTER/BASIC UNIT,POLYCLINIC,GENERAL HOSPITAL,SPECIALIZED HOSPITAL,MIXED UNIT,GENERAL EMERGENCY,SPECIALIZED EMERGENCY,ISOLATED OFFICE,RIVER MOBILE UNIT,CLINIC/SPECIALTY CENTER,DIAGNOSIS AND THERAPY SUPPORT UNIT (ISOLATED SADT),GROUND MOBILE UNIT,PRE-HOSPITAL LEVEL MOBILE UNIT IN THE EMERGENCY AREA,PHARMACY,HEALTH SURVEILLANCE UNIT,COOPERATIVE OR COMPANY FOR ASSIGNMENT OF WORKERS IN HEALTH,NORMAL BIRTH CENTER - ISOLATED,HOSPITAL/DAY - ISOLATED,HEALTH SERVICES REGULATION CENTER,LACEN CENTRAL PUBLIC HEALTH LABORATORY,HEALTH MANAGEMENT CENTER,HEMOTHERAPY AND OR HEMATOLOGY CARE CENTER,PSYCHOSOCIAL CARE CENTER,FAMILY HEALTH SUPPORT CENTER,INDIGENOUS HEALTH CARE UNIT,EMERGENCY SERVICE,HEALTH ACADEMY POLO,TELESSAUDE,EMERGENCY MEDICAL REGULATION CENTER,ISOLATED HOME CARE SERVICE,CARE UNIT IN RESIDENTIAL REGIME,ORTHOPEDIC WORKSHOP,PUBLIC HEALTH LABORATORY,ACCESS REGULATION CENTER,NOTIFICATION CENTER FOR CAPTATION AND DISTRIBUTION OF STATE ORGANIZATIONS,POLO FOR PREVENTION OF DISEASES AND DISEASES AND HEALTH PROMOTION,SUPPLY CENTER,IMMUNIZATION CENTER
110001,6,4,-,2,-,-,-,-,6,-,1,4,-,-,1,1,-,-,-,-,-,1,1,1,-,7,-,1,-,-,-,-,-,-,-,-,-,1,-
110037,-,6,-,1,-,-,-,-,1,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
110040,2,4,-,1,-,-,-,-,3,-,2,4,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110034,-,5,-,-,-,1,-,-,11,-,1,1,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110002,-,13,1,10,1,-,-,-,37,-,37,12,-,6,2,4,-,-,-,-,-,2,1,1,2,-,1,-,-,1,1,-,-,-,1,-,-,-,-
110045,-,4,1,3,-,-,-,-,9,-,1,5,-,2,2,3,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110003,-,2,-,-,-,1,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-
110060,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
110004,1,11,5,7,-,-,1,-,215,-,43,17,2,-,42,2,-,-,-,-,-,2,3,1,-,11,-,-,-,-,1,-,-,-,-,-,-,1,1
110070,-,4,-,1,-,-,-,-,2,-,-,1,-,2,1,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
