municipality,social_assit,pharmaceutical,general_surgeon,general_practitioner,nurse,physiotherapist,gynecologist,family_physician,pediatrician
110001,1,4,2,6,11,2,-,2,-
110002,2,17,14,42,40,16,8,8,6
110003,-,1,1,2,3,-,-,-,-
110004,17,29,10,50,85,44,7,5,8
110005,1,4,-,6,6,1,-,2,-
110006,1,5,1,7,7,2,-,2,-
110007,-,1,-,1,6,-,-,-,-
110008,-,2,1,2,4,1,-,2,-
110009,-,5,1,7,14,3,-,1,-
110010,3,6,5,11,13,4,-,4,2
110011,2,9,2,18,19,6,2,3,-
110012,5,18,9,22,39,23,8,6,6
110013,1,3,1,2,7,1,1,5,-
110014,1,1,1,4,5,3,-,-,-
110015,1,6,1,7,14,5,4,3,1
110018,2,7,1,6,11,3,1,1,2
110020,48,97,68,160,321,83,48,60,48
110025,2,4,-,6,9,1,-,1,-
110026,-,1,-,2,1,-,-,1,-
110028,1,8,2,7,18,6,2,2,2
110029,-,2,-,-,2,-,-,1,-
110030,2,14,2,17,35,16,7,7,7
110032,1,3,4,4,5,2,-,1,-
110033,-,-,1,4,7,3,-,1,-
110034,1,3,-,2,8,3,-,-,-
110037,-,1,-,5,5,2,-,2,-
110040,-,1,-,4,6,1,-,-,-
110045,-,6,2,3,9,2,-,1,-
110050,-,1,-,3,6,1,-,-,-
110060,-,1,-,4,4,1,-,-,-
110070,-,1,-,1,9,-,-,-,-
110080,-,-,-,2,6,-,-,2,1
110090,-,1,-,1,2,1,-,-,-
110092,-,1,-,3,2,1,-,-,-
110094,-,1,-,-,4,-,-,-,-
110100,1,1,-,3,3,-,-,-,-
110110,-,1,-,1,6,-,-,-,-
110120,-,3,-,-,4,-,-,-,-
110130,-,3,1,3,5,-,-,-,1
110140,-,-,-,1,8,1,-,2,-
110143,-,-,-,-,4,-,-,1,-
110145,-,1,-,-,3,-,-,-,-
110146,-,1,-,-,1,-,-,-,-
110147,-,-,-,-,3,-,-,-,-
110148,-,1,-,1,2,-,-,2,-
110149,-,3,-,-,6,1,-,-,-
110150,1,-,1,1,2,1,-,-,-
110155,-,1,-,1,2,-,-,-,-
110160,-,2,-,2,5,1,-,-,-
110170,-,-,-,1,3,1,-,2,-
110175,-,1,-,2,2,-,-,-,-
110180,-,2,-,1,5,-,-,2,-
120001,1,-,-,4,8,1,-,1,1
120005,-,2,-,3,8,1,-,2,-
120010,-,8,2,13,29,2,-,6,-
120013,-,-,-,1,3,-,-,1,-
120017,-,-,-,1,5,-,-,2,-
120020,4,7,9,43,74,8,3,7,-
120025,-,-,-,-,8,1,1,4,-
120030,-,2,1,4,7,-,1,2,-
120032,-,-,-,3,8,-,-,1,-
120033,-,-,-,1,7,-,-,5,-
120034,-,-,-,2,7,-,-,2,-
120035,-,-,-,1,8,-,-,4,-
120038,2,3,-,8,15,2,-,2,-
120039,-,-,-,1,4,-,-,1,-
120040,39,67,48,221,357,104,6,13,33
120042,-,-,-,1,6,-,-,1,-
120043,-,-,-,3,3,-,-,1,-
120045,-,-,-,3,11,1,-,3,-
120050,1,3,1,2,16,1,-,6,-
120060,-,3,-,8,16,-,-,5,-
120070,-,1,-,5,12,1,-,6,-
120080,-,-,-,-,7,-,-,6,-
130002,1,1,2,1,7,1,-,2,-
130006,-,1,1,-,5,-,-,2,-
130008,-,1,1,-,8,-,-,-,-
130010,-,1,1,1,7,-,-,3,-
130014,-,3,3,-,8,2,-,2,-
130020,-,1,1,1,5,-,-,2,-
130030,4,3,1,2,18,2,-,10,-
130040,-,3,-,1,7,-,-,-,-
130050,-,1,-,3,9,2,-,-,-
130060,1,1,-,1,12,-,1,3,-
130063,-,1,-,3,6,-,-,2,-
130068,-,1,1,2,8,-,-,-,-
130070,1,2,3,3,11,2,1,4,-
130080,3,3,1,3,16,1,-,6,-
130083,1,2,-,1,5,-,-,3,-
130090,-,1,-,1,6,-,-,2,-
130100,-,1,1,2,7,2,-,1,-
130110,-,1,1,2,18,-,-,8,-
130115,1,1,-,1,6,2,1,3,2
130120,2,7,1,13,40,4,2,9,1
130130,-,2,1,1,8,1,-,2,-
130140,2,4,1,4,12,1,-,3,-
130150,-,1,2,2,7,-,1,1,-
130160,1,1,1,-,12,-,-,6,-
130165,-,1,1,4,10,-,1,5,-
130170,2,6,2,5,17,5,2,8,1
130180,-,1,3,-,5,-,-,2,-
130185,8,4,4,8,27,3,1,18,1
130190,6,6,12,19,60,9,4,14,3
130195,-,-,1,1,4,-,-,1,-
130200,-,2,1,1,8,1,-,3,-
130210,-,1,-,-,5,-,-,2,-
130220,-,1,1,1,6,-,-,1,-
130230,-,1,-,-,6,-,-,3,-
130240,1,2,1,3,13,1,-,7,-
130250,5,8,1,11,43,6,2,27,1
130255,1,1,1,4,10,-,-,1,-
130260,318,507,201,572,1019,203,232,121,326
130270,4,2,1,2,12,1,-,5,-
130280,-,2,-,1,4,-,-,-,-
