,social_assit,pharmaceutical,general_surgeon,general_practitioner,nurse,physiotherapist,gynecologist,family_physician,Nutricionista,pediatrician
110001,3,4,1,11,25,4,-,3,3,1
110002,7,16,7,79,113,37,15,8,8,11
110003,1,1,-,4,8,2,-,1,1,-
110004,29,77,8,89,249,90,15,22,17,24
110005,3,3,-,8,16,5,-,3,-,-
110006,1,8,-,7,17,6,-,5,-,-
110007,-,1,-,3,10,-,-,2,-,-
110008,1,3,-,5,13,1,-,2,-,-
110009,1,1,-,11,27,8,2,5,2,1
110010,4,4,1,36,50,4,1,9,2,3
110011,8,44,1,23,56,12,3,9,6,1
110012,15,80,1,99,111,43,10,16,12,14
110013,3,6,-,6,22,2,-,6,2,-
110014,1,2,-,7,14,4,-,1,2,-
110015,3,5,-,19,32,7,1,5,3,8
110018,6,31,-,19,42,14,2,7,2,1
110020,127,267,40,441,1116,334,67,57,120,117
110025,4,8,-,4,20,4,-,5,1,-
110026,-,1,-,2,6,1,-,1,-,-
110028,3,8,-,14,42,15,3,7,2,3
110029,-,1,-,5,9,-,-,2,-,-
110030,24,24,3,36,133,58,13,18,13,14
110032,3,7,-,1,13,4,-,3,1,-
110033,1,3,-,7,16,5,-,4,1,-
110034,2,1,-,3,15,3,-,5,-,1
110037,1,7,-,2,11,2,-,3,1,-
110040,-,3,-,6,9,3,-,2,1,-
110045,2,8,-,1,32,7,-,4,3,18
110050,-,2,-,4,7,-,-,3,-,-
110060,-,-,-,1,5,1,-,-,-,-
110070,-,1,-,2,11,1,-,2,1,-
110080,1,1,-,5,16,-,-,4,-,-
110090,1,1,-,5,3,1,-,1,1,-
110092,-,2,-,6,9,1,-,4,1,-
110094,-,2,-,1,11,1,-,4,-,-
110100,1,1,-,1,9,1,-,4,-,-
110110,-,1,-,1,11,1,-,3,1,-
110120,-,1,-,4,4,1,-,4,-,-
110130,1,1,-,8,9,1,-,2,-,-
110140,1,3,-,3,12,2,-,3,1,-
110143,-,1,-,1,5,-,-,2,-,-
110145,-,1,-,2,4,1,-,1,-,-
110146,2,1,-,-,6,2,-,1,-,-
110147,-,1,-,-,2,-,-,1,-,-
110148,1,-,-,1,4,-,-,3,-,-
110149,4,5,2,7,27,6,-,5,2,1
110150,-,-,-,1,9,2,-,3,-,-
110155,-,1,-,3,4,-,-,-,-,-
110160,1,2,-,3,9,2,-,2,-,-
110170,1,2,-,3,7,2,-,2,-,-
110175,1,-,-,-,8,1,-,2,-,-
110180,-,1,-,1,7,-,-,1,-,-
120001,3,1,-,3,9,2,-,3,2,-
120005,2,1,-,7,8,2,-,1,1,-
120010,7,2,2,20,56,6,1,4,2,1
120013,-,1,-,2,8,1,-,2,-,-
120017,1,1,-,-,6,1,-,1,-,-
120020,24,9,-,59,161,32,7,10,11,8
120025,3,-,-,-,11,1,-,3,1,-
120030,2,-,-,6,21,2,-,5,1,-
120032,-,-,-,2,8,-,-,1,-,-
120033,2,1,-,2,17,-,-,2,2,-
120034,1,2,-,7,9,1,-,3,-,-
120035,2,1,-,6,11,1,-,2,1,-
120038,2,1,-,6,17,1,-,1,1,-
120039,2,1,-,3,10,1,-,2,-,-
120040,77,65,29,302,680,153,24,23,61,62
120042,2,-,-,1,10,-,-,4,1,-
120043,1,-,-,4,8,1,-,1,-,-
120045,1,5,-,3,23,2,-,1,1,-
120050,7,3,-,10,45,6,1,2,2,-
120060,3,2,-,11,26,2,1,6,1,1
120070,1,1,-,4,20,2,-,5,1,-
120080,1,1,-,1,7,1,-,1,1,-
130002,2,1,-,3,12,5,-,1,1,1
130006,1,2,-,7,22,1,-,1,1,1
130008,1,3,-,-,16,1,-,4,-,-
130010,2,-,-,9,13,5,-,5,3,-
130014,1,1,-,6,20,5,-,3,1,1
130020,3,1,-,3,36,1,-,3,2,-
130030,7,1,-,12,42,3,-,4,2,1
130040,3,2,1,8,30,5,-,3,1,-
130050,4,-,-,8,53,8,-,7,1,1
130060,5,2,1,8,39,2,-,12,1,-
130063,1,-,-,3,16,1,-,4,-,-
130068,2,-,-,1,20,2,-,6,1,1
